clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
AMOXICILINA 500 MG,37440,ME20340/3,AMOXICILINA 500 mg X 10 CAPSULAS,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52727.jpg,6,4
AMOXICILINA 500 MG,37441,ME20340/4,AMOXICILINA 500 mg X 12 CAPSULAS,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/8/0/3/7/3/80373-large_default.webp,6,4
AMOXICILINA 500 MG,37442,ME20340/2,AMOXICILINA 500 mg X 6 CAPSULAS,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5265.jpg,6,4
AMOXICILINA 500 MG,37443,ME26817,AMOXICILINA 500 mg X 12 CAPSULAS,Amoxicilina,CAPSULAS,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25978.jpg,6,4
AMOXICILINA 500 MG,39045,ME35012,AMOXICILINA 500 mg X 12 CAPSULAS,Amoxicilina,CAPSULAS,"LABORATORIOS VALMOR, C.A.",https://pccentro.net.ve/img/s/8/0/3/7/3/80373-large_default.webp,6,4
AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,37444,ME35002,AMOXICILINA 250 mg / 5 ml POLVO PARA SUSPENSION ORAL,Amoxicilina,POLVO PARA RECONSTITUCION,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,2,2
AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,39044,ME29931,AMOXICILINA 250 mg / 5 mL POLVO PARA SUSPENSION ORAL,,POLVO PARA RECONSTITUCION,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",,2,2
ANASMOL 5 MG,37461,ME24592/2,ANASMOL 5 mg X 10 COMPRIMIDOS,Warfarina,COMPRIMIDOS,MEGALABS S.A.,https://pccentro.net.ve/img/s/1/8/6/5/4/18654-large_default.webp,2,1
ANASMOL 5 MG,37462,ME24592/3,ANASMOL 5 mg X 30 COMPRIMIDOS,Warfarina,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95473.jpg,2,1
ANGRIP,37464,ME31329/3,ANGRIP X 8 COMPRIMIDOS,,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22591.jpg,3,1
ANGRIP,37465,ME31329/2,ANGRIP X 4 COMPRIMIDOS,,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23940.jpg,3,1
ANGRIP,37466,ME31329/4,ANGRIP X 15 COMPRIMIDOS,,COMPRIMIDOS,MEGALABS S.A.,,3,1
"ANTAAR 1,25 MG",37470,ME43410/3,"ANTAAR 1,25 mg X 30 TABLETAS RECUBIERTAS",,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29562.jpg,2,1
"ANTAAR 1,25 MG",37471,ME43410/2,"ANTAAR 1,25 mg X 10 TABLETAS RECUBIERTAS",,TABLETAS,"CALOX INTERNATIONAL, C.A.",,2,1
APLACAL 750 MG,37482,ME42366/3,APLACAL 750 mg X 80 TABLETAS MASTICABLES SABOR A BANANA,,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53180.jpg,6,1
APLACAL 750 MG,37483,ME42366/2,APLACAL 750 mg X 10 TABLETAS MASTICABLES SABOR A BANANA,,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21594.jpg,6,1
