clave_mf,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo
ACETAMINOFEN ||| SOLUCION ORAL,37330,ME42976,ACEVAL 180 mg / 5 mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIOS VALMOR, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22391.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,37608,ME21818,BREXIN 100 mg / mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIO COFASA, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4861.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,38067,ME31439,FEBRILIX 120mg / 5mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8453.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,38070,ME42457,FEBRIP 180 mg / 5 mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27532.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,38558,ME39909,"NIPE 100 mg - 0,25 mg / mL X 6 SOLUCION ORAL EN GOTAS",Acetaminofen,SOLUCION ORAL,"LABORATORIOS VARGAS, S.A.",https://pccentro.net.ve/img/s/8/1/4/3/6/81436-large_default.webp,15
ACETAMINOFEN ||| SOLUCION ORAL,38641,ME43239,PASIM PLUS 2 mg - 100 mg / mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53746.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,38798,ME41645,"SINUTIL 80 mg - 0,5 mg / mL SOLUCION ORAL",Acetaminofen,SOLUCION ORAL,"LABORATORIOS VINCENTI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19538.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,39062,ME34032,APIRET 180 mg / 5 mL  SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19584.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,39080,ME19620,ATAMEL 100 mg / mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/2/2/6/9/4/22694-large_default.webp,15
ACETAMINOFEN ||| SOLUCION ORAL,39321,ME42484,"NOXPIRIN 125 mg - 0,5 mg / 5 mL SOLUCION ORAL",Acetaminofen,SOLUCION ORAL,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24256.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,39322,ME42453,"NOXPIRIN 325 mg - 1,25 mg / 5 mL SOLUCION ORAL",Acetaminofen,SOLUCION ORAL,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24257.jpg,15
ACETAMINOFEN ||| SOLUCION ORAL,39378,ME18961,TACHIPIRIN 100 mg / mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"LABORATORIOS ELMOR, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3414.jpg,15
ACICLOVIR ||| CREMA,37334,ME24209,ACICLOR 5 % CREMA,Aciclovir,CREMA,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8876.jpg,2
ACICLOVIR ||| CREMA,39016,ME42715,ACICLOR NANOPHARM 5 % CREMA,Aciclovir,CREMA,"LABORATORIOS LETI, S.A.V.",https://pccentro.net.ve/img/s/7/2/8/4/2/72842-large_default.webp,2
ACICLOVIR ||| TABLETAS,37339,ME26178/3,ACICLOVIR 200 mg X 20 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29551.jpg,5
ACICLOVIR ||| TABLETAS,37340,ME26178/2,ACICLOVIR 200 mg X 10 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://pccentro.net.ve/img/s/8/3/7/6/5/83765-large_default.webp,5
ACICLOVIR ||| TABLETAS,37341,ME26178/4,ACICLOVIR 200 mg X 24 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7859.jpg,5
ACICLOVIR ||| TABLETAS,37342,ME31108,ACICLOVIR 200 mg X 25 TABLETAS,Aciclovir,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11560.jpg,5
ACICLOVIR ||| TABLETAS,37343,ME42505,ACICLOVIR 400 mg X 100 TABLETAS,Aciclovir,TABLETAS,CAPLIN POINT LABORATORIES LIMITED,,5
