producto_id,sku,nombre_comercial,molecula_texto,forma,linea,laboratorio,fuente_inhrr_ef,foto_url,disponible,costo_usd,precio_usd
37750,ME25520,CIPROFLOX 500 MG X 12 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,LABORATORIOS ELMOR S.A.,E.F.25.520,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91927.jpg,true,5.09,8.48
37751,ME28283/3,CIPROFLOXACINA 500 MG X 14 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.G.28.283,,true,5.68,9.47
37752,ME28283/2,CIPROFLOXACINA 500 MG X 6 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.G.28.283,,true,2.43,4.05
37753,HO44719,CIPROFLOXACINA 200 MG / 100 ML SOLUCION INYECTABLE,,INYECTABLE,Linea Hospitalaria,SHIJIAZHUANG NO 4 PHARMACEUTICAL CO. LTD,E.F.G.44.719,,true,2.9,4.83
37755,ME27827/4,CIPROFLOXACINA 500 MG X 10 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.27.827,,true,4.7,7.83
37756,ME27827/3,CIPROFLOXACINA 500 MG X 6 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.27.827,,true,1.07,1.78
37757,ME27827/5,CIPROFLOXACINA 500 MG X 14 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.27.827,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/12057.jpg,true,4.87,8.12
37758,ME27827/2,CIPROFLOXACINA 500 MG X 5 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.27.827,,true,5.34,8.90
37759,ME26487/3,CIPROFLOXACINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.G.26.487,,true,1.86,3.10
37760,ME26487/2,CIPROFLOXACINA 500 MG X 6 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.G.26.487,,true,1.42,2.37
37762,ME30890,CIPROFLOXACINO 500 MG X 14 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,LABORATORIOS VALMOR C.A.,E.F.G.30.890,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54467.jpg,true,4.78,7.97
37766,ME36822/3,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.36.822,,true,9.04,15.07
