producto_id,sku,nombre_comercial,foto_url,fuente,fecha
37562,ME16799,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A MENTA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97346.jpg,cobeca,
37564,ME33045/3,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A TUTTI FRUTTI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97346.jpg,cobeca,
37565,ME38253,BEPRODERM 0.05 % - 0.1 % CREMA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94044.jpg,cobeca,
37568,HO16114,BETAGEN 4 MG / ML X 1 AMPOLLA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4359.jpg,cobeca,
37569,HO34949,BETAGEN 12 MG / 3 ML X 1 AMPOLLA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13138.jpg,cobeca,
37577,ME41747,BIOCOR AMLO 20 MG - 5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17705.jpg,cobeca,
37578,ME41748,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17706.jpg,cobeca,
37579,ME41691,BIOCOR 40 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15628.jpg,cobeca,
39098,ME41690,BIOCOR 20 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15627.jpg,cobeca,
37580,ME38247/2,BIOTALOL 2.5 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30302.jpg,cobeca,
37581,ME38247/3,BIOTALOL 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98616.jpg,cobeca,
37582,ME42096,BIOTALOL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26929.jpg,cobeca,
37583,ME38403,BIOTALOL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98614.jpg,cobeca,
37584,ME28126,BIPRIN 300 MG X 10 CAPSULAS BLANDAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9940.jpg,cobeca,
37585,ME44259/3,BIPROLIL HCT 5 MG - 6.25 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54525.jpg,cobeca,
37596,ME40147/2,BLOCAX PLUS 16 MG - 12.5 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99775.jpg,cobeca,
37597,ME40147/3,BLOCAX PLUS 16 MG - 12.5 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19969.jpg,cobeca,
37598,ME41273/2,BLOCAX 8 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13408.jpg,cobeca,
37599,ME41273/3,BLOCAX 8 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15065.jpg,cobeca,
37600,ME22761,BLOKIUM 100 MG X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4312.jpg,cobeca,
37601,ME35863,BRASARTAN 80 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19231.jpg,cobeca,
39115,ME41912,BRASARTAN 80 MG X 30 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19231.jpg,cobeca,
37603,ME42224/3,BRASARTAN CTDN 80 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22884.jpg,cobeca,
37605,ME22276,BREINOX 800 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4274.jpg,cobeca,
37606,ME43812/2,BRESIS 600 MG X 20 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54187.jpg,cobeca,
37607,ME43812/3,BRESIS 600 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53310.jpg,cobeca,
37608,ME21818,BREXIN 100 MG / ML SOLUCION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4861.jpg,cobeca,
37610,ME43576,BROFLEMA 4 MG - 5 ML JARABE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52164.jpg,cobeca,
37611,ME40082,BROLAT 5 MG - 30 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98629.jpg,cobeca,
37619,ME41040,BRUDOL 200 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16419.jpg,cobeca,
37620,ME40856,BRUDOL 400 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16420.jpg,cobeca,
37621,ME19149,BRUGESIC 400 MG X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22102.jpg,cobeca,
37623,ME40290,BRUGESIC FORTE 800 MG X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27805.jpg,cobeca,
37625,ME41132,BUCOXOLGAR 3 MG - 1 MG X 12 TABLETAS MASTICABLES SABOR A MIEL LIMON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19870.jpg,cobeca,
39590,ME41676,BUCOXOLGAR 0.15 % - 0.25 % SOLUCION TOPICA BUCAL ATOMIZADORA SABOR A MENTA FRESCA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19885.jpg,cobeca,
37626,ME30917,BUDECORT 1 MG / ML SUSPENSION PARA INHALAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30268.jpg,cobeca,
37627,ME44539,BUDEQUIT 1 MG / ML SUSPENSION PARA INHALACION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54403.jpg,cobeca,
37628,HO24616,BUMELEX 0.5 MG / 2 ML X 3 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6678.jpg,cobeca,
