producto_id,nombre,sku,fuente,enlazada,ref_id,atc_id
39597,UDOX 75 MG X 10 CAPSULAS,ME39978,DICLOFENAC COLESTIRAMINA,Venlafaxina,3626,5512
39600,FLOGAREN 1.16 % GEL,ME43973,DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina,1074,2675
39633,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,,Adapaleno,Clindamicina,812,2609
39635,AGUA OXIG ALVA INYECTABLE,,Agua Oxig Alva,Peroxido De Hidrogeno,4053,30
39638,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,,Alendronico Acido,Alendronato Sodio,123,
39649,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,,Atapec,Quetiapina,2948,5281
39664,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,,Bromexina,Bromhexina,530,6110
39684,CITRATO CA VIT D3 TABLETAS,,Citrato Ca Vit D3,Vitamina D3,3735,
39691,CLORURO MAGNES 25 G LOCION,,Cloruro Magnes,Magnesio Cloruro,2161,
39697,PORTU 4 MG X 100 COMPRIMIDOS,,Portu,Clemastina,4296,6185
39698,SODICO 4 MG / 1 ML X 10 INYECTABLE,,Sodico,Dexametasona,1034,6447
39699,DEXAMETASONA FOSFATO SODICO 8 MG / 2 ML SOLUCION INYECTABLE,,Sodico,Dexametasona Fosfato Sodio,1037,6447
39700,SODICO 8 MG / 2 ML X 10 INYECTABLE,,Sodico,Dexametasona,1034,6447
39708,DIOSMINA-HESPERIDINA 450 MG-50 MG COMPRIMIDOS RECUBIERTOS,,Diosmina Hesper,Hesperidina,1729,1778
39768,LOSARTAN HCT 50 MG X 30 COMPRIMIDOS,,Losartan Hct,Hidroclorotiazida,1739,1555
39769,LOSARTAN HCT 50 MG X 15 COMPRIMIDOS,,Losartan Hct,Hidroclorotiazida,1739,1555
39796,LOSARTAN HCT TABR 50 MG X 30 COMPRIMIDOS,,Losartan Hct Tabr,Hidroclorotiazida,1739,1555
39804,OLMESARTAN MEDOXOMIL 40 MG - HIDROLOCOTIAZIDA 12.5 MG X 30 TABLETAS RECUBIERTAS,,Olmesartan Medoxomil,Hidroclorotiazida,1739,1555
39830,PREVERAL DEXTRO REFORM 120 ML JARABE,,Preveral Dextro Reform,Dextrometorfano,1053,6140
39830,PREVERAL DEXTRO REFORM 120 ML JARABE,,Preveral Dextro Reform,Guaifenesina,1694,6096
39866,VALSARTAN HCT TABREC 80 MG X 30 TABLETAS,,Valsartan Hct Tabrec,Hidroclorotiazida,1739,1555
39869,BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS,,Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,Tiamina,3384,710
39869,BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS,,Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,Piridoxina,2789,729
39869,BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS,,Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,Cianocobalamina,724,1115
39870,VITAMINA MANDARINA TIRA TABLETA MASTICABLE UNIDADES 500 MG X 10 TABLETAS,,Vitamina Mandarina Tira Tableta Masticable Unidades,Vitamina C,3732,
39876,BISOPROLOL HCT 2.5 MG X 15 COMPRIMIDOS,,Bisoprolol Hct,Hidroclorotiazida,1739,1555
39879,CLORURO MAGNES 25 G INYECTABLE,,Cloruro Magnes,Magnesio Cloruro,2161,
39880,DICLOFENAC DIETILAMINO 1.16 % GEL,,Diclofenac Dietilam,Diclofenaco Dietilamina,1074,2675
39898,ANGIOFLUX 250LSU X 25 CAPSULAS,,Angioflux 250lsu,Diosmina,1120,1765
39898,ANGIOFLUX 250LSU X 25 CAPSULAS,,Angioflux 250lsu,Hesperidina,1729,1778
