id,nombre,sinonimos,atc_id,descripcion
127,Alfa Amilcinamaldehido,,,
129,Alfa-cetoglutarico Acido,,,
137,Alginato Sodio,,,
140,Alilguayacol,,,
149,Almendras Amargas,,,
152,Aloe Capensis,,,
153,Aloe Ferox Mill.,,,
154,Aloe Ferox Polvo,,,
157,Aloysia Citriodora,,,
161,Alquilbencildimetilamonio,,,
162,Alquitran Hulla,,,
163,Alquitran Mineral,,,
166,Althaea Officinalis L Exto Liquido,,,
165,Althaea Officinalis L.,,,
167,Althaea Officinalis L. Extracto Seco,,,
168,Althea Officinalis L.,,,
171,Aluminio Aminoacetato Basico,,,
172,Aluminio Fosfato,,,
174,Aluminio Hidroxido Coloidal,,,
176,Aluminio Potasio Sulfato,,,
179,Amapola De California,,,
183,Ametocaina,,,
184,Ametopterina,,,
188,Amidotrizoato Calcio,,,
189,Amidotrizoato Meglumina,,,
190,Amidotrizoato Sodio,,,
191,Amidotrizoico Acido,,,
197,Amilmetacresol,,,
200,Aminoacetico Acido,,,
202,Aminolevulinato Metilo,,,
204,Aminolevulinico Hidrocloruro,,,
205,Aminosidina,,,
215,Ammoidina,,,
218,Amonio Molibdato,,,
235,Andusomeran,,,
236,Aneurina,,,
237,Angelica Arcangelica,,,
238,Angelica Archangelica Raiz,,,
244,Ansamicina,,,
247,Anticuerpo Humanizado Frente Al Antigeno De Maduracion De Celulas B Conjugado Con Maleimidocaproil Monometil Auristatin F,,,
248,"Anticuerpo Monoclonal Biespecifico Contra Cd3 Y Bcma, De Isotipo Igg2k Humanizado Y Modificado En La Region Fc",,,
249,Antigeno De Una Cepa Similar A B  (linaje Victoria),,,
250,Antigeno De Una Cepa Similar A B  (linaje Yamagata),,,
251,Antigeno Hepatitis A,,,
252,Antigeno Oligosacarido Meningococo Grupo A,,,
253,Antigeno Oligosacarido Meningococo Grupo C,,,
254,Antigeno Oligosacarido Meningococo Grupo W135,,,
255,Antigeno Oligosacarido Meningococo Grupo Y,,,
256,Antigeno Polisacarido Meningococo Gr W-135,,,
257,Antigeno Polisacarido Meningococo Gr Y,,,
258,Antigeno Polisacarido Meningococo Grupo A,,,
259,Antigeno Polisacarido Meningococo Grupo C,,,
260,Antigeno Recombinante De La Glicoproteina E (ge) Del Virus De La Varicela Zoster (vvz),,,
261,Antigeno Salmonella Typhi Polisacarido Capsular Vi,,,
262,Antigeno Superficie Hepatitis B,,,
263,Antigenos Superficie Virus Gripe,,,
266,Antraquinona,,,
267,Antraquinona Glucosidos,,,
269,Apap,,,
270,Apio De Montaña,,,
280,Aquocobalamina,,,
281,Arabinosido Citosina,,,
282,Arandano Rojo,,,
283,Arandano Rojo Purificado Extracto Seco,,,
284,Arctostaphylos Uva Ursi (gayuba) Extracto Seco 10 %,,,
285,Arctostaphylos Uva-ursi,,,
291,Arnica Montana,,,
292,Arnica Montana Extracto Liquido,,,
293,"Arnm Con Caperuza Que Codifica La Proteina Espiga Del Sars-cov-2, Variante Omicron Xfg",,,
294,Arnm Que Codifica El Dominio N-terminal Y El Dominio De Union Al Receptor De La Glicoproteina De La Espicula De Sars-cov 2 (xbb.1.5.),,,
295,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H1n1, Cepa A/wisconsin/67/2022",,,
296,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H3n2, Cepaa/darwin/6/2021",,,
297,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe B, Cepa B/austria/1359417/2021",,,
307,Ascorbato Sodio,,,
308,Ascorbico Acido,,,
312,Asiaticosido,,,
314,Asparagina Monohidrato,,,
316,Asparragin Aminohidrolasa,,,
317,Aspartato Arginina,,,
318,Aspartico Acido,,,
337,Atropa Belladonna,,,
338,Atropa Belladonna Tintura Madre,,,
351,Avibactam,,,
352,Avibactam Sodio,,,
353,Avxs-101,,,
354,Axeroftol,,,
358,Azahar,,,
360,Azd9291,,,
364,Azidotimidina,,,
370,Azul De Metileno,,,
371,Azul Disperso,,,
