producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio
37921,ME44533,DICARVEX 25 MG X 30 TABLETAS,DICARVEX,Carvedilol,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A."
37922,ME43814,DICLODEX 1.8 MG / ML SUSPENSION ORAL,DICLODEX,Diclofenaco,SOLUCION ORAL,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A."
37924,MI35435/2,DICLOFENAC POT X 6 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.
37925,MI35435/3,DICLOFENAC POT X 10 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.
37926,MI35435/4,DICLOFENAC POT X 30 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.
37935,ME43220,DICLOXACILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,DICLOXACILINA,,POLVO PARA RECONSTITUCION,MANUFACTURERA MUNDIAL FARMACEUTICA S.A.
39193,ME38499,DIKLASON 1.16 % GEL,DIKLASON,,GEL,"LABORATORIOS LETI, S.A.V."
37945,ME43230,DIKLASON BI 150 MG X 10 COMPRIMIDOS DE LIBERACION CONTROLADA,DIKLASON BI,,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V."
38945,ME43348/3,DIOSMINA - HESPERIDINA 450 MG - 50 MG X 30 CAPSULAS BLANDAS,DIOSMINA - HESPERIDINA,Hesperidina,CAPSULAS,"CALOX INTERNATIONAL, C.A."
37957,ME40371,DIOSMINA-HESPERIDINA 450 MG-50 MG COMPRIMIDOS RECUBIERTOS,DIOSMINA-HESPERIDINA,,COMPRIMIDOS,LABORATORIO ELEA PHOENIX S.A.
37960,ME37926,PENTASA 500 MG X 30 COMPRIMIDOS DE LIBERACION PROLONGADA,PENTASA,Mesalazina,COMPRIMIDOS,"FERRING INTERNATIONAL CENTER, S.A."
37967,ME26655/2,DOL X 4 TABLETAS RECUBIERTAS,DOL X,Acetaminofen - Cafeina,TABLETAS,"CALOX INTERNATIONAL, C.A."
39490,ME38932/2,DOLAK 30 MG X 1 COMPRIMIDO SUBLINGUAL,DOLAK,,COMPRIMIDOS,"ESPECIALIDADES DOLLDER, C.A."
39491,ME38932/3,DOLAK 30 MG X 2 COMPRIMIDOS SUBLINGUALES,DOLAK,,COMPRIMIDOS,"ESPECIALIDADES DOLLDER, C.A."
37971,ME43320,DOLCAN 9 MG / 5 ML SUSPENSION ORAL,DOLCAN,,SOLUCION ORAL,MEGALABS S.A.
37979,ME44460/3,DONEPEZILO CLORHIDRATO 10 MG X 56 CAPSULAS,DONEPEZILO CLORHIDRATO,Donepezilo,CAPSULAS,"LABORATORIOS LETI, S.A.V."
37980,ME44460/2,DONEPEZILO CLORHIDRATO 10 MG X 10 CAPSULAS,DONEPEZILO CLORHIDRATO,Donepezilo,CAPSULAS,"LABORATORIOS LETI, S.A.V."
37991,ME32615/5,DUROVAL 50 MG X 10 TABLETAS RECUBIERTAS,DUROVAL,,TABLETAS,"LABORATORIOS VALMOR, C.A."
37992,ME44389/2,TAMSULON DUO 0.5 MG - 0.4 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,TAMSULON DUO,Dutasterida - Tamsulosina,CAPSULAS,ASOFARMA S.A.I. Y C
37993,ME44389/3,TAMSULON DUO 0.5 MG - 0.4 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,TAMSULON DUO,Dutasterida - Tamsulosina,CAPSULAS,ASOFARMA S.A.I. Y C
38001,ME43620,LERCANIDIPINA CLORHIDRATO – ENALAPRIL MALEATO 10 MG – 20 MG X 30 COMPRIMIDOS RECUBIERTOS,LERCANIDIPINA CLORHIDRATO – ENALAPRIL MALEATO,Enalapril - Lercanidipino,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V."
38002,ME43619,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO 10 MG - 10 MG X 30 COMPRIMIDOS RECUBIERTOS,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO,Enalapril - Lercanidipino,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V."
38007,ME44613,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA 20 MG - 12.5 MG TABLETAS,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA,Enalapril - Hidroclorotiazida,TABLETAS,"LABORATORIOS KIMICEG, C.A."
38008,ME1103,ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL,ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII),,SOLUCION ORAL,"CALOX INTERNATIONAL, C.A."
38012,ME19381,ERILON 1 MG / ML LOCION,ERILON,,LOCION,"BIOTECH LABORATORIOS, C.A."
