producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
37983,DORIXINA FLEX 125 MG - 5 MG X 10 COMPRIMIDOS RECUBIERTOS,ME32119/3,INHRR,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
37992,TAMSULON DUO 0.5 MG - 0.4 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,ME44389/2,INHRR,DUTASTERIDE - CLORHIDRATO DE TAMSULOSINA,Dutasterida,1177,3018
37992,TAMSULON DUO 0.5 MG - 0.4 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,ME44389/2,INHRR,DUTASTERIDE - CLORHIDRATO DE TAMSULOSINA,Tamsulosina,3293,3009
37993,TAMSULON DUO 0.5 MG - 0.4 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,ME44389/3,INHRR,DUTASTERIDE - CLORHIDRATO DE TAMSULOSINA,Dutasterida,1177,3018
37993,TAMSULON DUO 0.5 MG - 0.4 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,ME44389/3,INHRR,DUTASTERIDE - CLORHIDRATO DE TAMSULOSINA,Tamsulosina,3293,3009
38001,LERCANIDIPINA CLORHIDRATO – ENALAPRIL MALEATO 10 MG – 20 MG X 30 COMPRIMIDOS RECUBIERTOS,ME43620,INHRR,MALEATO DE ENALAPRIL - CLORHIDRATO DE LERCANIDIPINO,Lercanidipino,2044,1891
38001,LERCANIDIPINA CLORHIDRATO – ENALAPRIL MALEATO 10 MG – 20 MG X 30 COMPRIMIDOS RECUBIERTOS,ME43620,INHRR,MALEATO DE ENALAPRIL - CLORHIDRATO DE LERCANIDIPINO,Enalapril,1227,1922
38002,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO 10 MG - 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ME43619,INHRR,MALEATO DE ENALAPRIL - CLORHIDRATO DE LERCANIDIPINO,Lercanidipino,2044,1891
38002,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO 10 MG - 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ME43619,INHRR,MALEATO DE ENALAPRIL - CLORHIDRATO DE LERCANIDIPINO,Enalapril,1227,1922
38007,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA 20 MG - 12.5 MG TABLETAS,ME44613,INHRR,HIDROCLOROTIAZIDA - MALEATO DE ENALAPRIL,Enalapril,1227,1922
38029,ESOMEPRAZOL 40 MG X 10 TABLETAS RECUBIERTAS,ME35847/2,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38030,ESOMEPRAZOL 40 MG X 20 TABLETAS RECUBIERTAS,ME35847/5,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
38031,ESOMEPRAZOL 40 MG X 16 TABLETAS RECUBIERTAS,ME35847/4,INHRR,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1311,130
