producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37617,ME36318,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,BROMHEXINA CLORHIDRATO,,JARABE,LABORATORIO BIOGALENIC C.A.,sin_desc_lab
37638,ME42932/4,VITAMINA C - ZINC 500 MG - 15 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37639,ME42932/3,VITAMINA C - ZINC 500 MG - 15 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37640,ME42932/2,VITAMINA C - ZINC 500 MG - 15 MG X 10 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.,sin_desc_lab
37655,ME43341,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA 8 MG – 12.5 MG TABLETAS RECUBIERTAS,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA,,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,sin_desc_lab
37668,MI1290,OXIGENO MEDICINAL,OXIGENO MEDICINAL,,,"AGA GAS, C.A.",sin_desc_lab
37678,ME28957,CARBAMAZEPINA 200 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,ESPROMED BIO C.A.,sin_desc_lab
37679,ME43783,CARBAMAZEPINA 200 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,"JIANGXI SYNERGY PHARMACEUTICAL CO., LTD",sin_desc_lab
37680,ME43998,CARBAMAZEPINA 400 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,BRAWN LABORATORIES LIMITED,sin_desc_lab
37692,ME38916/3,CARVEDILOL 6.5 MG X 15 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,"OKASA PHARMA,PVT,LTDA.",sin_desc_lab
37693,ME38916/6,CARVEDILOL 6.5 MG X 30 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,"OKASA PHARMA,PVT,LTDA.",sin_desc_lab
37694,ME38916/4,CARVEDILOL 6.5 MG X 20 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,"OKASA PHARMA,PVT,LTDA.",sin_desc_lab
