producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata,sigla,clave_real,lab_real,lab_nuevo,nota
38154,HO36306/3,GENTAMICINA 160 MG / 2 ML X 10 AMPOLLAS,GENTAMICINA,Gentamicina,INYECTABLE,VITALIS S.A.C.I.,generico_otro_lab,cobeca,lab_generico,,GENTAMICINA AMP 160MG/2ML X 10 BLUE/M,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30124.jpg,BLUE/M,BLUE,"BLUE MEDICAL PHARMACEUTICAL, C.A.",si,
38155,HO36306/2,GENTAMICINA 160 MG / 2 ML X 5 AMPOLLAS,GENTAMICINA,Gentamicina,INYECTABLE,VITALIS S.A.C.I.,generico_otro_lab,cobeca,lab_generico,,GENTAMICINA SOL INY 160MG/2ML X5 DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52502.jpg,DIST,DIST,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,
38158,ME33501,GLIBENCLAMIDA 5 MG X 10 COMPRIMIDOS,GLIBENCLAMIDA,Glibenclamida,COMPRIMIDOS,LABORATORIOS ELMOR S.A.,generico_otro_lab,farmanselmo,lab_generico,,GLIBENCLAMIDA 5 MG X 10 TABLETAS KMPLUS (E),https://pccentro.net.ve/img/s/4/1/1/3/7/41137-large_default.webp,KMPLUS,KMP,"KMPLUS PHARMACEUTICALS, C.A.",si,
38159,ME26275,GLIBENCLAMIDA 5 MG X 30 TABLETAS,GLIBENCLAMIDA,Glibenclamida,TABLETAS,LABORATORIOS VARGAS S.A.,generico_otro_lab,cobeca,lab_generico,,GLIBENCLAMIDA TAB 5MG X 30 ANGELUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28525.jpg,ANGELUS,ANGELUS,"INVERSIONES ANGELUS HEALTH, C.A.",si,
38168,ME32878,GLIMEPIRIDA 4 MG TABLETAS,GLIMEPIRIDA,Glimepirida,TABLETAS,LABORATORIO LA SANTE C.A.,generico_otro_lab,cobeca,lab_generico,,GLIMEPIRIDA COMP 4MG X15 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52338.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
38169,ME32727,GLIMERID 2 MG X 30 TABLETAS,GLIMERID,Glimepirida,TABLETAS,LABORATORIO LA SANTE C.A.,generico_otro_lab,cobeca,lab_generico,,GLIMEPIRIDA TAB 2MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21362.jpg,ANG/H,ANG/H,"INVERSIONES ANGELUS HEALTH, C.A.",si,
38191,ME35183/2,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 10 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO - HIDROCLOROTIAZIDA,Hidroclorotiazida - Losartan,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,generico_otro_lab,cobeca,lab_generico,,LOSARTAN/HCT TAB REC 100/25MG X10 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22228.jpg,PHARME,PHARME,"LABORATORIO LA SANTE, C.A.",no,
38195,ME36980/2,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 10 COMPRIMIDOS RECUB,LOSARTAN POTASICO - HIDROCLOROTIAZIDA,,COMPRIMIDOS,LABORATORIOS VARGAS S.A.,generico_otro_lab,cobeca,lab_generico,,LOSARTAN/HCT TAB REC 100/25MG X10 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22228.jpg,PHARME,PHARME,"LABORATORIO LA SANTE, C.A.",no,
38196,ME36980/3,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 30 COMPRIMIDOS RECUB,LOSARTAN POTASICO - HIDROCLOROTIAZIDA,,COMPRIMIDOS,LABORATORIOS VARGAS S.A.,generico_otro_lab,cobeca,lab_generico,,LOSARTAN HCT TAB REC 100/25MGX30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99859.jpg,PHARME,PHARME,"LABORATORIO LA SANTE, C.A.",no,
38216,ME34468,IBUPROFENO 100 MG / 5 ML SUSPENSION,IBUPROFENO,Ibuprofeno,SUSPENSION ORAL,SM PHARMA C.A.,generico_otro_lab,cobeca,lab_generico,,IBUPROFENO SUSP 100MG/5ML 90ML LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99047.jpg,LETI,LETI,"LABORATORIOS LETI, S.A.V.",no,
