id,sku,nombre_comercial,foto_url
38619,HO30228,ONDANSETRON 2 MG / ML X 1 AMPOLLA,
38620,ME42197,ONDANSETRON 4 MG / 5 ML SOLUCION ORAL,
38622,HO35150/3,ONDATRIN 2 MG / ML X 5 AMPOLLAS,
38634,ME37274,PANTOPRAZOL 40 MG X 10 COMPRIMIDOS CON CUBIERTA DE LIBERACION ENTERICA,
38653,ME12460,PEREBRON 28 MG / 5 ML JARABE SABOR A FRAMBUESA,
38654,ME41148,PEREBRON 28 MG / 5 ML JARABE SABOR MIEL - LIMON,
38668,ME34513,BREINOX 400 MG X 30 TABLETAS,
38688,ME27150,PREDNISONA 50 MG X 10 TABLETAS,
38689,ME34836,PREDNISONA 50 MG X 10 TABLETAS.,
38690,ME12419/2,PREDNISONA 5 MG X 10 TABLETAS,
38692,ME12419/3,PREDNISONA 5 MG X 30 TABLETAS,
38693,ME32934,PREDNISONA 5 MG X 10 TABLETAS,
38703,ME26036,PROPRANOLOL 10 MG X 20 TABLETAS,
38705,ME40343,PROVICAR 2 G / 10 ML SOLUCION ORAL,
38720,ME26538,RANITIDINA 150 MG X 10 COMPRIMIDOS RECUBIERTOS,
38740,ME38180,RISPERIDONA 2 MG X 20 TABLETAS RECUBIERTAS,
38749,ME37264,ROSUVASTATINA 20 MG X 30 COMPRIMIDOS RECUBIERTOS,
38767,ME30953,SECNIDAZOL 500 MG X 4 TABLETAS RECUBIERTAS,
38768,ME32717,SECNIDAZOL 1 G COMPRIMIDOS RECUBIERTOS,
38769,ME37061,SECNIDAZOL 1 G X 2 TABLETAS RECUBIERTAS,
38772,ME37617,SECNIDAZOL 1 G X 2 TABLETAS RECUBIERTAS,
38783,ME31067/2,SERTRALINA 50 MG X 10 COMPRIMIDOS RECUBIERTOS,
38784,ME31067/3,SERTRALINA 50 MG X 14 COMPRIMIDOS RECUBIERTOS,
38785,ME31067/4,SERTRALINA 50 MG X 30 COMPRIMIDOS RECUBIERTOS,
38826,ME38493/2,TADALAFILO 20 MG X 1 TABLETA RECUBIERTA,
38853,ME44418/2,TERAGRIPFORTE 650 MG-20 MG-2 MG X 6 GRANULADO PARA SOLUCION ORAL,
38861,ME12998,TILODRIN 4 MG / ML SOLUCION ORAL,
38862,ME17508,TILODRIN 30 MG / 15 ML JARABE,
38864,ME22060,TINIDAZOL 500 MG X 4 TABLETAS RECUBIERTAS,
38871,ME26806,TIOCOLCHICOSIDO 4 MG X 10 COMPRIMIDOS,
38872,ME34453,TIOCOLCHICOSIDO 4 MG X 12 TABLETAS,
38913,ME44208/2,VALSARTAN 160 MG X 10 COMPRIMIDOS RECUBIERTOS,
38914,ME44208/3,VALSARTAN 160 MG X 28 COMPRIMIDOS RECUBIERTOS,
38915,ME44208/4,VALSARTAN 160 MG X 30 COMPRIMIDOS RECUBIERTOS,
38916,ME31624/3,VALSARTAN 160 MG X 14 CAPSULAS,
38917,ME31624/2,VALSARTAN 160 MG X 7 CAPSULAS,
38918,ME38559/3,VALSARTAN - HIDROCLOROTIAZIDA 160 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,
38919,ME38559/2,VALSARTAN - HIDROCLOROTIAZIDA 160 MG - 12.5 MG X 14 TABLETAS RECUBIERTAS,
38920,ME31623/2,VALSARTAN 80 MG X 14 CAPSULAS,
38921,ME31623/3,VALSARTAN 80 MG X 30 CAPSULAS,
38926,ME38613,VALSARTAN - HIDROCLOROTIAZIDA 80 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,
38927,ME33646/2,VASATEN HCT 80 MG - 12.5 MG X 10 COMPRIMIDOS RECUBIERTOS,
38928,ME33646/3,VASATEN HCT 80 MG - 12.5 MG X 14 COMPRIMIDOS RECUBIERTOS,
38945,ME43348/3,DIOSMINA - HESPERIDINA 450 MG - 50 MG X 30 CAPSULAS BLANDAS,
38957,ME39856/2,FARMAD 1000 UI X 30 TABLETAS RECUBIERTAS,
39008,ME31636,ACETAMINOFEN 120 MG / 5 ML JARABE,
39009,ME43970,ACETAMINOFEN 125 MG SUPOSITORIOS,
39010,ME33906,ACETAMINOFEN 650 MG X 10 TABLETAS,
39011,ME43427/2,ACETAMINOFEN 500 MG X 10 TABLETAS,
39013,ME41663,ACETAMINOFEN 650 MG X 10 COMPRIMIDOS,
39018,ME29911/2,ACIDO FOLICO 10 MG X 20 TABLETAS,
