id,campo,antes,despues
38395,nombre_comercial,LOSARTAN POTASICO 50 mg X 30 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO 50 MG X 30 COMPRIMIDOS RECUBIERTOS
38396,nombre_comercial,LOSARTAN POTASICO 50 mg X 10 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO 50 MG X 10 COMPRIMIDOS RECUBIERTOS
38397,nombre_comercial,LOSARTAN POTASICO 50 mg X 20 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO 50 MG X 20 COMPRIMIDOS RECUBIERTOS
38398,nombre_comercial,"LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 mg - 12,5 mg COMPRIMIDOS RECU",LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 MG - 12.5 MG COMPRIMIDOS RECU
38399,nombre_comercial,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 mg - 25 mg X 10 TABLETAS RECUBIERTAS,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 10 TABLETAS RECUBIERTAS
38400,nombre_comercial,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 mg - 25 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 30 TABLETAS RECUBIERTAS
38401,nombre_comercial,LOSARTAN POTASICO 50 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS
38402,nombre_comercial,"LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 mg - 12,5 mg X 30 COMPRIMIDOS RECU",LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 MG - 12.5 MG X 30 COMPRIMIDOS RECU
38403,nombre_comercial,"LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 mg - 12,5 mg X 15 COMPRIMIDOS RECU",LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 MG - 12.5 MG X 15 COMPRIMIDOS RECU
38404,nombre_comercial,LOSARTAN POTASICO 50 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS
38405,nombre_comercial,LOSARTAN POTASICO - HIDROCLOROTIZADA 100 mg - 25 mg X 10 TABLETAS RECUBIERTAS,LOSARTAN POTASICO - HIDROCLOROTIZADA 100 MG - 25 MG X 10 TABLETAS RECUBIERTAS
38406,nombre_comercial,LOSARTAN POTASICO - HIDROCLOROTIZADA 100 mg - 25 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO - HIDROCLOROTIZADA 100 MG - 25 MG X 30 TABLETAS RECUBIERTAS
38407,nombre_comercial,LOSARTAN POTASICO 50 mg X 10 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 10 TABLETAS RECUBIERTAS
38408,nombre_comercial,LOSARTAN POTASICO 50 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS
38409,nombre_comercial,LOSARTAN POTASICO 50 mg X 20 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 20 TABLETAS RECUBIERTAS
38410,nombre_comercial,LOSARTAN POTASICO 50 mg X 30 TABLETAS RECUBIERTAS,LOSARTAN POTASICO 50 MG X 30 TABLETAS RECUBIERTAS
38411,nombre_comercial,LOSARTAN POTASICO 100 mg X 30 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO 100 MG X 30 COMPRIMIDOS RECUBIERTOS
38412,nombre_comercial,"LOTEMICIN 0,5 % - 0,3 % SUSPENSION OFTALMICA",LOTEMICIN 0.5 % - 0.3 % SUSPENSION OFTALMICA
38413,nombre_comercial,LOWPRES 150 mcg / mL X 5 AMPOLLAS,LOWPRES 150 MCG / ML X 5 AMPOLLAS
38414,nombre_comercial,LUDROX 75 mg X 30 TABLETAS RECUBIERTAS,LUDROX 75 MG X 30 TABLETAS RECUBIERTAS
38415,nombre_comercial,LUMBAX 200 mg X 10 TABLETAS,LUMBAX 200 MG X 10 TABLETAS
38416,nombre_comercial,LUMBAX 400 mg X 10 TABLETAS,LUMBAX 400 MG X 10 TABLETAS
